"name","allsides_page","bias","agree","disagree","agree_ratio","agreeance_text","website"
"ABC News","https://www.allsides.com/news-source/abc-news-media-bias","left-center","9383","7153","1.3117573046274291","somewhat agrees","http://abcnews.go.com/"
"Al Jazeera","https://www.allsides.com/news-source/al-jazeera-america","center","2358","3513","0.6712211784799317","somewhat disagrees",""
"AllSides","https://www.allsides.com/news-source/allsides-0","allsides","3066","1150","2.666086956521739","strongly agrees","http://www.allsides.com"
"AllSides Community","https://www.allsides.com/news-source/allsides-community","allsides","1984","1158","1.7132987910189983","agrees",""
"AlterNet","https://www.allsides.com/news-source/alternet","left","1390","612","2.2712418300653594","strongly agrees","http://www.alternet.org/"
"American Spectator","https://www.allsides.com/news-source/american-spectator","right","4837","2068","2.3389748549323017","strongly agrees","http://spectator.org/"
"American Thinker","https://www.allsides.com/news-source/american-thinker","right","1237","673","1.838038632986627","agrees","http://www.americanthinker.com/"
"Aquinas College Saint","https://www.allsides.com/news-source/aquinas-college-saint","left","723","441","1.6394557823129252","agrees","http://www.aquinas.edu/thesaint/"
"Arkansas Democrat-Gazette","https://www.allsides.com/news-source/arkansas-democrat-gazette","left","772","575","1.342608695652174","somewhat agrees","http://www.arkansasonline.com/"
"Associated Press","https://www.allsides.com/news-source/associated-press-media-bias","center","4995","3554","1.4054586381541925","somewhat agrees","http://www.ap.org/"
"Atlanta Journal-Constitution","https://www.allsides.com/news-source/atlanta-journal-constitution","left-center","668","637","1.0486656200941915","somewhat agrees","http://www.ajc.com/"
"Austin American-Statesman","https://www.allsides.com/news-source/austin-american-statesman","left-center","612","462","1.3246753246753247","somewhat agrees","http://www.mystatesman.com/"
"Axios","https://www.allsides.com/news-source/axios","center","706","822","0.8588807785888077","somewhat disagrees",""
"Barnstable Patriot","https://www.allsides.com/news-source/barnstable-patriot","center","392","467","0.8394004282655246","somewhat disagrees","http://www.barnstablepatriot.com/home2/"
"BBC News","https://www.allsides.com/news-source/bbc-news-media-bias","center","7798","7444","1.0475550779150995","somewhat agrees","http://www.bbc.com/"
"Bearing Drift","https://www.allsides.com/news-source/bearing-drift","right","486","411","1.1824817518248176","somewhat agrees","http://www.bearingdrift.com"
"Bloomberg","https://www.allsides.com/news-source/bloomberg-media-bias","center","4290","4915","0.8728382502543235","somewhat disagrees","http://www.bloomberg.com/"
"Blue Virginia","https://www.allsides.com/news-source/blue-virginia","left","593","433","1.369515011547344","somewhat agrees","http://www.bluevirginia.us"
